standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,status,mandatory_status,summary,official_url,date_verified,verification_status,notes
BCHYDRO-DIST-STANDARDS-GUIDES,BC Hydro Distribution Standards,Distribution Technical Standards and Guides,BC Hydro,collection,Canada - British Columbia,BC Hydro distribution technical standards,current,Active,BC Hydro connection and construction requirements where applicable,Public landing page for BC Hydro distribution technical standards guides information bulletins and metering requirements,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards.html,2026-08-23,verified,Collection page includes ES43 ES53 ES54 ES55 service requirements generator interconnection and metering documents.
BCHYDRO-DGI,BC Hydro DGI,Distribution Generator Interconnections,BC Hydro,collection,Canada - British Columbia,BC Hydro distribution generator interconnection,current,Active,Applies to generation projects connecting to the BC Hydro distribution system,Public landing page for distribution generator interconnection technical requirements revenue metering and closed transition transfer material,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-generator-interconnections.html,2026-08-23,verified,Use child records for specific requirements documents.
BCHYDRO-TGI,BC Hydro TGI,Transmission Generator Interconnections,BC Hydro,collection,Canada - British Columbia,BC Hydro transmission generator interconnection,current,Active,Applies to generation projects connecting at transmission voltage,Public landing page for transmission generator interconnection process and technical requirement documents,https://app.bchydro.com/accounts-billing/electrical-connections/transmission-generator-interconnections.html,2026-08-23,verified,Use child records for TIR SGIP and transmission facility requirements.
BCHYDRO-OATT,BC Hydro OATT,Open Access Transmission Tariff,BC Hydro,tariff,Canada - British Columbia,BC Hydro transmission tariff,current,Active,Regulated terms and procedures for transmission service,BC Hydro open access transmission tariff for public transmission service terms schedules and attachments,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/tariff-filings/electric-tariff/00-bch-oatt.pdf,2026-08-23,verified,Source page is https://www.bchydro.com/toolbar/about/strategies-plans-regulatory/tariffs-terms-conditions/oatt.html.
BCHYDRO-ELECTRIC-TARIFF,BC Hydro Electric Tariff,Electric Tariff,BC Hydro,tariff,Canada - British Columbia,BC Hydro electric tariff,current,Active,Regulated electricity tariff terms and conditions,BC Hydro electric tariff document for public electricity service terms rates and conditions,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/tariff-filings/electric-tariff/bchydro-electric-tariff.pdf,2026-08-23,verified,Source page is https://www.bchydro.com/toolbar/about/strategies-plans-regulatory/tariffs-terms-conditions/electric-tariff.html.
BCHYDRO-SYSTEM-OPERATING-ORDERS,BC Hydro SOO,System Operating Orders,BC Hydro,collection,Canada - British Columbia,BC Hydro system operating orders,current,Active,BC Hydro operating requirements and reference orders for transmission system operation,Public collection of selected BC Hydro system operating orders for ratings voltage control and interconnections,https://www.bchydro.com/energy-in-bc/operations/transmission/transmission-system/system-operating-orders.html,2026-08-23,verified,Current public collection includes five system operating orders.
BCHYDRO-TRANSMISSION-PLANNING,BC Hydro Transmission Planning,Transmission Capital Planning and Studies,BC Hydro,collection,Canada - British Columbia,BC Hydro transmission planning,current,Active,Transmission planning business practices and study methodology references,Public source page for Attachment K business practices transmission studies guide and planning methodology references,https://www.bchydro.com/energy-in-bc/operations/transmission/transmission-plan/transmission-capital-planning.html,2026-08-23,verified,Some linked references are related methodology or NERC planning materials rather than BC Hydro standards.
BCHYDRO-PRIMARY-SERVICE-REQ,Primary Service Requirements R5,Requirements for Customer-Owned Primary Services Supplied at 4 kV to 35 kV,BC Hydro,standard,Canada - British Columbia,BC Hydro primary service requirements,Revision 5 2026,Active,Applies to customer owned primary services supplied from 4 kV to 35 kV,Customer owned primary service technical requirements formerly known as the Primary Guide,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-primary-service-requirements-r5.html,2026-08-23,verified,BC Hydro page identifies Revision 5 as the current public release.
BCHYDRO-PRIMARY-SERVICE-CHECKLIST,Primary Service Checklist R5,Checklist of Requirements for Customer-Owned Primary Services Supplied at 4 kV to 35 kV,BC Hydro,checklist,Canada - British Columbia,BC Hydro primary service requirements,Revision 5 2026,Active,Supports customer owned primary service design and acceptance review,Checklist companion document for BC Hydro primary service requirements,https://app.bchydro.com/content/dam/BCHydro/customer-portal/documents/distribution/standards/ds-primary-service-requirements-checklist-r5.pdf,2026-08-23,verified,Checklist should be treated as support metadata for the primary service requirements.
BCHYDRO-SECONDARY-SERVICE-REQ,Secondary Customer Service Requirements,Secondary Customer Service Requirements up to 750 V Phase-to-Ground,BC Hydro,standard,Canada - British Columbia,BC Hydro secondary service requirements,2026-04-24,Active,Applies to secondary customer service connections up to 750 V phase to ground,BC Hydro secondary customer service requirements for low voltage service connections,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-secondary-customer-service-requirements.html,2026-08-23,verified,BC Hydro page lists this document under Secondary Customer Service Requirements.
BCHYDRO-METER-SOCKETS,List of Accepted Meter Sockets,List of Accepted Meter Sockets,BC Hydro,standard,Canada - British Columbia,BC Hydro metering requirements,current,Active,Applies to meter socket selection for BC Hydro metered services,BC Hydro list of accepted meter sockets for service equipment coordination,https://app.bchydro.com/content/dam/BCHydro/customer-portal/documents/distribution/standards/meter-sockets-list.pdf,2026-08-23,verified,Track product and metering acceptance details only as public metadata.
BCHYDRO-SECONDARY-REVENUE-METERING,Secondary Revenue Metering,Secondary Voltage Revenue Metering 750 V and Less,BC Hydro,standard,Canada - British Columbia,BC Hydro revenue metering requirements,current,Active,Applies to secondary voltage revenue metering installations at 750 V and less,BC Hydro revenue metering requirements for secondary voltage services,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-secondary-voltage-revenue-metering-750v.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-PRIMARY-REVENUE-METERING,Primary Revenue Metering,Requirements for Primary Service Revenue Metering 4 kV to 35 kV,BC Hydro,standard,Canada - British Columbia,BC Hydro revenue metering requirements,current,Active,Applies to primary service revenue metering from 4 kV to 35 kV,BC Hydro revenue metering requirements for primary service voltage installations,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-RM-Manually-read-primary-service-voltage-4kV-to-35kV.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-COMPLEX-REVENUE-METERING,Complex Revenue Metering,Complex Revenue Metering,BC Hydro,standard,Canada - British Columbia,BC Hydro revenue metering requirements,current,Active,Applies where BC Hydro requires complex revenue metering arrangements,BC Hydro revenue metering requirements for complex metering applications,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-RM-Complex-RM.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES43,ES43,Overhead Electrical Distribution Standards,BC Hydro,standard_family,Canada - British Columbia,BC Hydro overhead distribution standards,current,Active,Applies to BC Hydro overhead distribution design and construction,BC Hydro ES43 family for overhead electrical distribution standards,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards.html#es43,2026-08-23,verified,Child records identify major public ES43 sections.
BCHYDRO-ES43-B,ES43 B,Clearances,BC Hydro,standard,Canada - British Columbia,BC Hydro overhead distribution standards,current,Active,Applies to overhead distribution clearances,BC Hydro ES43 B overhead electrical clearance standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-ES43-B-clearances.html,2026-08-23,verified,Public page may require acknowledgement before viewing the standard.
BCHYDRO-ES43-C,ES43 C,Joint and Secondary Use,BC Hydro,standard,Canada - British Columbia,BC Hydro overhead distribution standards,current,Active,Applies to joint use and secondary use of overhead distribution facilities,BC Hydro ES43 C overhead electrical standard for joint and secondary use,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-es43-section-c.html,2026-08-23,verified,Public page may require acknowledgement before viewing the standard.
BCHYDRO-ES43-J7-01,ES43 J7-01,Primary Revenue Metering,BC Hydro,standard,Canada - British Columbia,BC Hydro overhead distribution standards,current,Active,Applies to primary revenue metering in overhead distribution contexts,BC Hydro ES43 J7-01 standard for primary revenue metering,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-es43-j-primary-revenue-metering.html,2026-08-23,verified,Related to BC Hydro revenue metering requirements.
BCHYDRO-ES43-K,ES43 K,Protection and Switching,BC Hydro,standard,Canada - British Columbia,BC Hydro overhead distribution standards,current,Active,Applies to protection and switching in overhead distribution systems,BC Hydro ES43 K overhead electrical protection and switching standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-ES43-K-protection-switching.html,2026-08-23,verified,Public page may require acknowledgement before viewing the standard.
BCHYDRO-ES43-L,ES43 L,Street Lighting,BC Hydro,standard,Canada - British Columbia,BC Hydro overhead distribution standards,current,Active,Applies to street lighting in overhead distribution contexts,BC Hydro ES43 L overhead electrical street lighting standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-ES43-L-street-lighting.html,2026-08-23,verified,Public page may require acknowledgement before viewing the standard.
BCHYDRO-ES43-M1-10,ES43 M1-10,Terminal Poles Pilaster Location,BC Hydro,standard,Canada - British Columbia,BC Hydro overhead distribution standards,current,Active,Applies to terminal pole and pilaster location requirements,BC Hydro ES43 M1-10 overhead electrical terminal pole and pilaster location standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-ES43-M1-10-terminal-poles-pilaster-location.html,2026-08-23,verified,Public page may require acknowledgement before viewing the standard.
BCHYDRO-ES43-N,ES43 N,Secondaries and Services,BC Hydro,standard_family,Canada - British Columbia,BC Hydro overhead distribution standards,current,Active,Applies to overhead secondary and service connection requirements,BC Hydro ES43 N family for overhead secondaries and services,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards.html#es43ohe,2026-08-23,verified,Includes table of contents general requirements and service connection records.
