standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,applicability,summary,official_url,source_download_url,notes
IEEE-C57-12-00-2021,IEEE C57.12.00-2021,"IEEE Standard for General Requirements for Liquid-Immersed Distribution, Power, and Regulating Transformers",IEEE,standard,International / North America,C57 transformers regulators and reactors - Liquid-Immersed Transformers,2021,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C57 family metadata record for transformers, reactors, insulating liquids, bushings, and related transformer equipment; this record points to the official IEEE SA page for IEEE C57.12.00-2021.",https://standards.ieee.org/ieee/C57.12.00/6962,,IEEE SA page status: Active Standard. Published: 2022-01-21. IEEE record number: 6962.
IEEE-C57-12-01-2020,IEEE C57.12.01-2020,IEEE Standard for General Requirements for Dry-Type Distribution and Power Transformers,IEEE,standard,International / North America,C57 transformers regulators and reactors - Dry-Type Transformers,2020,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C57 family metadata record for transformers, reactors, insulating liquids, bushings, and related transformer equipment; this record points to the official IEEE SA page for IEEE C57.12.01-2020.",https://standards.ieee.org/ieee/C57.12.01/6775,,IEEE SA page status: Active Standard. Published: 2020-11-24. IEEE record number: 6775.
IEEE-C57-12-10-2017,IEEE C57.12.10-2017,IEEE Standard Requirements for Liquid-Immersed Power Transformers,IEEE,standard,International / North America,C57 transformers regulators and reactors - Liquid-Immersed Transformers,2017,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C57 family metadata record for transformers, reactors, insulating liquids, bushings, and related transformer equipment; this record points to the official IEEE SA page for IEEE C57.12.10-2017.",https://standards.ieee.org/ieee/C57.12.10/6123,,IEEE SA page status: Active Standard. Published: 2018-04-27. IEEE record number: 6123.
IEEE-C57-12-20-2023,IEEE C57.12.20-2023,"IEEE Standard for Overhead-Type Distribution Transformers 500 kVA and Smaller; High Voltage, 34 500 V and Below; Low Voltage, 7970/13 800Y V and Below",IEEE,standard,International / North America,C57 transformers regulators and reactors - Distribution Transformers,2023,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C57 family metadata record for transformers, reactors, insulating liquids, bushings, and related transformer equipment; this record points to the official IEEE SA page for IEEE C57.12.20-2023.",https://standards.ieee.org/ieee/C57.12.20/7511,,IEEE SA page status: Active Standard. Published: 2024-02-01. IEEE record number: 7511.
IEEE-C57-12-23-2018,IEEE C57.12.23-2018,IEEE Standard for Submersible Single-Phase Transformers:250 kVA and Smaller; High Voltage 34 500 GrdY/19 920 V and Below; Low Voltage 600 V and Below,IEEE,standard,International / North America,C57 transformers regulators and reactors - Distribution Transformers,2018,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C57 family metadata record for transformers, reactors, insulating liquids, bushings, and related transformer equipment; this record points to the official IEEE SA page for IEEE C57.12.23-2018.",https://standards.ieee.org/ieee/C57.12.23/5988,,IEEE SA page status: Active Standard. Published: 2019-08-20. IEEE record number: 5988.
IEEE-C57-12-24-2023,IEEE C57.12.24-2023,"IEEE Standard for Submersible, Three-Phase Transformers, 3750 kVA and Smaller: High Voltage, 34 500 GrdY/19 920 V and Below; Low Voltage, 600 V and Below",IEEE,standard,International / North America,C57 transformers regulators and reactors - Distribution Transformers,2023,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C57 family metadata record for transformers, reactors, insulating liquids, bushings, and related transformer equipment; this record points to the official IEEE SA page for IEEE C57.12.24-2023.",https://standards.ieee.org/ieee/C57.12.24/7512,,IEEE SA page status: Active Standard. Published: 2024-02-08. IEEE record number: 7512.
IEEE-C57-12-28-2023,IEEE C57.12.28-2023,IEEE Standard for Pad-Mounted Equipment--Enclosure Integrity,IEEE,standard,International / North America,C57 transformers regulators and reactors - Distribution Transformers,2023,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C57 family metadata record for transformers, reactors, insulating liquids, bushings, and related transformer equipment; this record points to the official IEEE SA page for IEEE C57.12.28-2023.",https://standards.ieee.org/ieee/C57.12.28/11094,,IEEE SA page status: Active Standard. Published: 2024-05-03. IEEE record number: 11094.
IEEE-C57-12-29-2023,IEEE C57.12.29-2023,IEEE Standard for Pad-Mounted Equipment--Enclosure Integrity for Coastal Environments,IEEE,standard,International / North America,C57 transformers regulators and reactors - Distribution Transformers,2023,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C57 family metadata record for transformers, reactors, insulating liquids, bushings, and related transformer equipment; this record points to the official IEEE SA page for IEEE C57.12.29-2023.",https://standards.ieee.org/ieee/C57.12.29/11095,,IEEE SA page status: Active Standard. Published: 2024-05-03. IEEE record number: 11095.
IEEE-C57-12-30-2020,IEEE C57.12.30-2020,IEEE Standard for Pole-Mounted Equipment--Enclosure Integrity for Coastal Environments,IEEE,standard,International / North America,C57 transformers regulators and reactors - Bushings Accessories and Enclosures,2020,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C57 family metadata record for transformers, reactors, insulating liquids, bushings, and related transformer equipment; this record points to the official IEEE SA page for IEEE C57.12.30-2020.",https://standards.ieee.org/ieee/C57.12.30/7513,,IEEE SA page status: Active Standard. Published: 2021-03-05. IEEE record number: 7513.
IEEE-C57-12-31-2020,IEEE C57.12.31-2020,IEEE Standard for Pole-Mounted Equipment--Enclosure Integrity,IEEE,standard,International / North America,C57 transformers regulators and reactors - Bushings Accessories and Enclosures,2020,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C57 family metadata record for transformers, reactors, insulating liquids, bushings, and related transformer equipment; this record points to the official IEEE SA page for IEEE C57.12.31-2020.",https://standards.ieee.org/ieee/C57.12.31/7514,,IEEE SA page status: Active Standard. Published: 2021-02-26. IEEE record number: 7514.
