standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,applicability,summary,official_url,notes
NFPA-70,NFPA 70,National Electrical Code,NFPA,code,United States,Electrical installation code,2026,"Adopted by states and local authorities with amendments","Public metadata record for the U.S. benchmark electrical installation code.",https://www.nfpa.org/codes-and-standards/nfpa-70-standard-development/70,Track state and local adoption separately.
NFPA-70B,NFPA 70B,Standard for Electrical Equipment Maintenance,NFPA,standard,United States and Canada,Electrical equipment maintenance,2026,"Referenced for inspection, testing, and maintenance programs for electrical equipment","Public metadata record for electrical equipment maintenance programs and reliability-oriented maintenance planning.",https://www.nfpa.org/codes-and-standards/nfpa-70b-standard-development/70b,Older editions were published as a recommended practice; verify edition-specific document type during file-level audit.
NFPA-70E,NFPA 70E,Standard for Electrical Safety in the Workplace,NFPA,standard,United States and Canada,Workplace electrical safety,2027,"Used for employer electrical safety programs and OSHA-aligned work practices","Public metadata record for electrical safety-related work practices, maintenance, and special equipment.",https://www.nfpa.org/codes-and-standards/nfpa-70e-standard-development/70e,Do not copy article text; store metadata and applicability notes only.
NFPA-72,NFPA 72,National Fire Alarm and Signaling Code,NFPA,code,United States and Canada,Fire alarm and signaling,2025,"Referenced for fire alarm, signaling, emergency communications, and detection systems","Public metadata record for electrically connected fire alarm and signaling system requirements.",https://www.nfpa.org/codes-and-standards/nfpa-72-standard-development/72,Included because alarm and signaling systems are electrical/low-voltage life-safety systems.
NFPA-73,NFPA 73,Standard for Electrical Inspections for Existing Dwellings,NFPA,standard,United States and Canada,Electrical inspection and safety,2026,"Referenced for electrical safety inspections in existing dwellings","Public metadata record for dwelling electrical inspection guidance and safety evaluation.",https://www.nfpa.org/codes-and-standards/nfpa-73-standard-development/73,Not currently present in the local Drive folder at the time of review.
NFPA-75,NFPA 75,Standard for the Fire Protection of Information Technology Equipment,NFPA,standard,United States and Canada,Information and telecommunications facility protection,2024,"Referenced for fire protection of IT equipment rooms and related facilities","Public metadata record for IT equipment fire protection where electrical and electronic equipment concentration is a major risk driver.",https://www.nfpa.org/codes-and-standards/nfpa-75-standard-development/75,Included as electrical-adjacent because it addresses protected spaces for IT/electronic equipment.
NFPA-76,NFPA 76,Standard for the Fire Protection of Telecommunications Facilities,NFPA,standard,United States and Canada,Information and telecommunications facility protection,2024,"Referenced for telecommunications facility fire protection","Public metadata record for telecommunications facility fire protection and continuity planning.",https://www.nfpa.org/codes-and-standards/nfpa-76-standard-development/76,Included as electrical-adjacent because it addresses telecom/electronic infrastructure.
NFPA-77,NFPA 77,Recommended Practice on Static Electricity,NFPA,recommended_practice,United States and Canada,Static electricity and bonding,2024,"Referenced for static electricity hazard assessment, bonding, grounding, and control measures","Public metadata record for static electricity hazards in industrial and process environments.",https://www.nfpa.org/codes-and-standards/nfpa-77-standard-development/77,Not currently present in the local Drive folder at the time of review.
NFPA-78,NFPA 78,Guide on Electrical Inspections,NFPA,guide,United States and Canada,Electrical inspection and safety,R2028,"Referenced as guidance for electrical inspections","Public metadata record for electrical inspection guidance.",https://www.nfpa.org/codes-and-standards/nfpa-78-standard-development/78,Latest known listing uses reconfirmation-style edition notation.
NFPA-79,NFPA 79,Electrical Standard for Industrial Machinery,NFPA,standard,United States and Canada,Industrial electrical systems,2024,"Referenced for industrial machinery electrical equipment and safety interfaces","Public metadata record for electrical systems associated with industrial machinery.",https://www.nfpa.org/codes-and-standards/nfpa-79-standard-development/79,Private PDF inventory and Drive links are intentionally excluded.
